cluster,gaia_source_id,g_mag,bp_mag,rp_mag,membership_probability,use_star,distance_pc,a_g_mag,e_bp_rp_mag
Messier 67,604922302279256320,16.322758,17.04609,15.50248,0.1937599523684946,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922302279259008,13.402018,13.710562,12.932329,0.941638002320416,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922336638992128,15.92281,16.478056,15.219828,0.8442601033633426,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922370997734016,19.574957,21.077665,18.47028,0.5668950029874139,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922435422864512,17.419231,18.603085,16.344753,0.4896615589357289,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922474077954944,15.055208,15.454335,14.488711,0.8564166722371092,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922474077958144,15.995755,16.551722,15.29822,0.3484381127388984,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922641581304576,15.509171,15.973046,14.885082,0.6051375061021427,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922748956025216,12.008891,12.505912,11.354177,0.82705794577186,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922779020036736,13.567353,13.868017,13.105061,1.0,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922779020036992,12.938089,13.228318,12.490938,1.0,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922783315580288,15.21319,15.647864,14.617261,1.0,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922817675315968,18.915993,20.28006,17.74992,0.5254122318921168,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922817675316096,14.96619,15.364067,14.398642,0.861312927767716,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922847739721856,18.085344,19.089417,17.113756,0.4704324338809575,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922847739724800,18.046719,19.092329,17.058943,0.3938939159016847,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922886394970240,16.897709,17.640144,16.067812,0.8227865885157437,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922886394972160,12.646031,12.935818,12.196179,0.7538872641320021,False,837.26777331,0.0872870850252,0.042253873118999995
